,Oil_store,주소,가격,셀프,상표,구
63,지에스칼텍스(주)홍제동주유소,서울 서대문구 통일로 372,1559.0,Y,GS칼텍스,서대문구
64,(주)마봉 구도일주유소 두꺼비,서울특별시 서대문구  성산로 312 (연희동),1559.0,Y,S-OIL,서대문구
65,삼미상사(주)서부주유소,서울 서대문구 성산로 255 (연희동),1563.0,Y,SK에너지,서대문구
66,삼보셀프주유소,서울 서대문구 연희로 78 (연희동),1569.0,Y,SK에너지,서대문구
67,광호주유소,서울 서대문구 연희로 266 (홍은동),1579.0,N,SK에너지,서대문구
68,연희주유소,서울특별시 서대문구  연희로 129 (연희동 89-7번지),1579.0,N,SK에너지,서대문구
69,중앙에너비스 동교지점,서울 서대문구 연희로 12 (창천동),1589.0,Y,SK에너지,서대문구
70,KH에너지(주)직영 독립문주유소,서울 서대문구 통일로 384 (홍제동),1589.0,N,SK에너지,서대문구
71,문화촌주유소,서울 서대문구 세검정로 87 (홍제동),1710.0,N,S-OIL,서대문구
72,행촌제2주유소,서울 서대문구 성산로 490 (대신동),1975.0,N,SK에너지,서대문구
73,만남의광장주유소,서울 서초구 양재대로12길 73-71 (원지동),1479.0,Y,알뜰(ex),서초구
74,양재최고주유소,서울 서초구 매헌로 72 (양재동),1548.0,N,GS칼텍스,서초구
75,태봉셀프주유소,서울 서초구 태봉로 117 (우면동),1553.0,Y,SK에너지,서초구
76,(주)대농석유 남태령주유소,서울 서초구 과천대로 838 (방배동),1554.0,Y,SK에너지,서초구
77,동원석유(강남대로),서울 서초구 강남대로 206 (양재동),1557.0,Y,S-OIL,서초구
78,대신석유(주)대우주유소,서울 서초구 양재대로 173 (양재동),1559.0,Y,SK에너지,서초구
79,현대오일뱅크(주)직영 팔레스주유소,서울 서초구 사평대로 136 (반포동),1559.0,N,현대오일뱅크,서초구
80,지에스칼텍스(주)선천주유소,서울 서초구 동작대로 206 (방배동),1564.0,N,GS칼텍스,서초구
81,현대오일뱅크(주)직영 방배현대주유소,서울특별시 서초구 동작대로 182 (방배동),1564.0,N,현대오일뱅크,서초구
82,한독주유소,서울 서초구 방배로 218 (방배동),1565.0,N,GS칼텍스,서초구
83,말죽거리주유소,서울 서초구 남부순환로 2650 (양재동),1566.0,N,GS칼텍스,서초구
84,대성석유(주)연일주유소,서울 서초구 남부순환로 2451,1567.0,N,GS칼텍스,서초구
85,신반포주유소,서울 서초구 사평대로 94 (반포동),1568.0,N,SK에너지,서초구
86,(주)홈런주유소,서울 서초구 양재대로2길 100-30 (우면동),1569.0,Y,S-OIL,서초구
87,(주)한미석유 서초주유소,서울 서초구 반포대로 64 (서초동),1569.0,N,GS칼텍스,서초구
88,서초꽃마을주유소,서울 서초구 반포대로 69 (서초동),1569.0,N,GS칼텍스,서초구
89,현대오일뱅크(주)직영 서초현대주유소,서울 서초구 반포대로 33 (서초동),1569.0,N,현대오일뱅크,서초구
90,양재현대주유소,서울 서초구 마방로 6,1573.0,N,현대오일뱅크,서초구
91,반포그린주유소,서울 서초구 서초중앙로 239 (반포동),1575.0,N,GS칼텍스,서초구
92,(주)한미건설 서울주유소,서울 서초구 서초중앙로 91 (서초동),1578.0,N,GS칼텍스,서초구
93,에쓰오일(주)직영 오토테크주유소,서울특별시 서초구  효령로 356 (서초동),1578.0,Y,S-OIL,서초구
94,지에스칼텍스(주)남서울주유소,서울 서초구 나루터로 83 (잠원동),1582.0,N,GS칼텍스,서초구
95,만국주유소,서울 서초구 서초대로 52 (방배동),1584.0,N,SK에너지,서초구
96,SK네트웍스 반포셀프주유소,서울특별시 서초구  사평대로 12 (방배본동),1585.0,Y,SK에너지,서초구
97,방배동주유소,서울 서초구 효령로 29 (방배동),1585.0,N,SK에너지,서초구
98,지에스칼텍스(주)내곡주유소,서울 서초구 헌릉로 210,1585.0,N,GS칼텍스,서초구
99,농협하나로주유소,서울특별시 서초구  헌릉로 48 (양재동),1589.0,N,NH-OIL,서초구
100,지에스칼텍스(주)헌릉로주유소,서울 서초구 헌릉로 177 (내곡동),1589.0,Y,GS칼텍스,서초구
101,대성산업(주)직영 터미널(고속)주유소,서울 서초구 신반포로 222 (반포동),1597.0,N,GS칼텍스,서초구
102,경일석유(주)직영 삼방주유소,서울 서초구 사평대로 364 (서초동),1597.0,N,GS칼텍스,서초구
103,대성산업(주)직영강남주유소,서울 서초구 반포대로 284 (반포동),1597.0,N,GS칼텍스,서초구
104,서초제일주유소,서울 서초구 사임당로 116 (서초동),1599.0,N,SK에너지,서초구
105,전당앞주유소,서울 서초구 남부순환로 2391 (서초동),1599.0,N,SK에너지,서초구
106,크로바주유소,서울 서초구 효령로 327 (서초동),1687.0,N,SK에너지,서초구
107,중앙주유소,서울 서초구 양재동 바우뫼로 219 (양재동),1938.0,N,S-OIL,서초구
108,대신석유㈜서원주유소,서울 서초구 반포대로 142 (서초동),1948.0,N,SK에너지,서초구
109,사평로주유소,서울 서초구 사평대로 350 (서초동),1989.0,N,SK에너지,서초구
110,선우상사Q엔느,서울 서초구 방배로 66 (방배동),1998.0,N,SK에너지,서초구
111,양재주유소,서울 서초구 바우뫼로 178 (양재동),2192.0,N,SK에너지,서초구
112,(주)서울에너지 직영,서울 성동구 천호대로 324 (용답동),1516.0,Y,S-OIL,성동구
113,정호주유소,서울 성동구 고산자로 307 (마장동),1524.0,N,자가상표,성동구
114,지에스칼텍스㈜ 도루코주유소,서울 성동구 아차산로 180,1556.0,Y,GS칼텍스,성동구
115,경진주유소,서울 성동구 고산자로 348 (마장동),1578.0,N,SK에너지,성동구
116,아이콘주유소,서울 성동구 고산자로 273 (도선동),1578.0,N,S-OIL,성동구
117,SK에너지(주) 군자동주유소,서울 성동구 천호대로 446 (용답동),1579.0,N,SK에너지,성동구
118,삼우주유소,서울 성동구 천호대로 392 (용답동),1579.0,N,SK에너지,성동구
119,현대오일뱅크 성수주유소,서울 성동구 뚝섬로 352 (성수동1가),1580.0,N,현대오일뱅크,성동구
120,kh에너지(주)성수만세주유소,서울특별시 성동구 왕십리로 109 (성수동1가),1595.0,Y,SK에너지,성동구
121,태은에너지KLP제2주유소,서울특별시 성동구 동일로 249 (송정동),1596.0,Y,현대오일뱅크,성동구
122,현대오일뱅크(주) 성동현대주유소,서울특별시 성동구  마장로 311 (마장동),1598.0,N,현대오일뱅크,성동구
123,SK네트웍스(주)효진주유소,서울 성동구 동일로 129 (성수동2가),1649.0,N,SK에너지,성동구
124,SK세원2주유소,서울 성동구 광나루로 184 (성수동1가),1672.0,N,SK에너지,성동구
125,금호주유소,서울 성동구 금호로 39 (금호동4가),1728.0,N,GS칼텍스,성동구
126,동일주유소,서울 성동구 광나루로 254 (성수동2가),1793.0,N,현대오일뱅크,성동구
127,청계로주유소,서울 성동구 청계천로 454 (하왕십리동),1798.0,N,SK에너지,성동구
128,(주)옥수하이웨이스테이션,서울 성동구 독서당로 168 (옥수동),1898.0,N,GS칼텍스,성동구
129,원천주유소,서울특별시 성북구  돌곶이로 142 (장위동),1499.0,N,알뜰주유소,성북구
130,강산주유소,서울 성북구 보문로 27 (보문동7가),1507.0,N,GS칼텍스,성북구
131,지에스칼텍스㈜ 화랑주유소,서울 성북구 화랑로 185,1520.0,N,GS칼텍스,성북구
132,(주)성북주유소,서울 성북구 보문로 142 (보문동1가),1527.0,N,현대오일뱅크,성북구
133,길음지점,서울특별시 성북구 삼양로 78 (길음동),1529.0,N,현대오일뱅크,성북구
134,(주)삼표에너지 정릉주유소,서울 성북구 보국문로 35 (정릉동),1529.0,Y,GS칼텍스,성북구
135,원천제1주유소,서울특별시 성북구  보국문로 52 (정릉제4동),1529.0,Y,GS칼텍스,성북구
136,현대오일뱅크㈜직영 고대셀프주유소,서울 성북구 종암로 12 (종암동),1529.0,Y,현대오일뱅크,성북구
137,신방주유소,서울특별시 성북구 안암로 111 (안암동5가),1532.0,N,S-OIL,성북구
138,중앙에너비스 종암지점,서울 성북구 종암로 58 (종암동),1538.0,Y,SK에너지,성북구
139,장삼주유소,서울 성북구 한천로 612 (장위동),1539.0,Y,SK에너지,성북구
140,지에스칼텍스㈜ 세창주유소,서울 성북구 동소문로 323,1540.0,N,GS칼텍스,성북구
